Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
27531,Haz Waste Issue,JAN-08-2013,NOV,Memphis,Shelby,JAN-08-2013,"Express Body Works, LLC",JAN-02-2013,
27340,Used Oil,DEC-07-2012,NOV,Memphis,Shelby,DEC-07-2012,Grammer's Automotive,DEC-06-2012,
27234,Illegal Dumping,NOV-28-2012,No Jurisdiction,Memphis,Shelby,NOV-28-2012,Pate Road Property,NOV-20-2012,
27121,Used Oil,NOV-13-2012,No Problem Found,Memphis,Shelby,NOV-13-2012,Highway 70 Care Care,NOV-05-2012,
27100,Used Oil,NOV-14-2012,No Problem Found,Memphis,Shelby,NOV-14-2012,Vanguard Soap,NOV-01-2012,
26946,Illegal Dumping,OCT-10-2012,No Jurisdiction,Memphis,Shelby,OCT-10-2012,7619 Pleasant Ridge,OCT-03-2012,
26719,Other,OCT-04-2012,No Problem Found,Memphis,Shelby,OCT-04-2012,College Park Apartments,SEP-19-2012,
26945,Illegal Dumping,OCT-10-2012,No Problem Found,Memphis,Shelby,OCT-10-2012,6580 Austin Peay Highway,SEP-18-2012,
26690,Illegal Dumping,SEP-18-2012,No Problem Found,Memphis,Shelby,SEP-18-2012,Gateway Tire,SEP-17-2012,
26689,Haz Waste Issue,SEP-18-2012,NOV,Memphis,Shelby,SEP-18-2012,Custom Projects Inc.,SEP-13-2012,
26426,Other,SEP-14-2012,Referred to other Agency/Section,Memphis,Shelby,SEP-14-2012,City of Collierville,AUG-23-2012,
