address,latitude,longitude,geopoint
1299 MARECHALNEIL ST,35.10594147,-89.97960319,"35.10594147, -89.97960319"
5746 WINTER TREE DR,35.04465338,-89.87199855,"35.04465338, -89.87199855"
8411 TRINITY RD,35.14218595,-89.78270676,"35.14218595, -89.78270676"
267 AYERS,35.14761765,-90.03012326,"35.14761765, -90.03012326"
172 W DAVANT AVE,35.08903699,-90.06867534,"35.08903699, -90.06867534"
32 W DAVANT AVE,35.08893455,-90.0639508,"35.08893455, -90.06395080"
0 DRIVER,35.12067353,-90.04575098,"35.12067353, -90.04575098"
3465 WARFORD ST,35.2202503,-89.96353031,"35.22025030, -89.96353031"
2461 LOWELL AVE,35.09709311,-89.98092064,"35.09709311, -89.98092064"
2477 LAROSE AVE,35.09797443,-89.98036962,"35.09797443, -89.98036962"
1691 GOWAN DR,35.2196641,-90.00734601,"35.21966410, -90.00734601"
3934 MARY LEE DR,35.04130128,-90.00838525,"35.04130128, -90.00838525"
714 CHELSEA AVE,35.16506863,-90.03370728,"35.16506863, -90.03370728"
4262 SUNNYSLOPE DR,35.03225344,-89.85422238,"35.03225344, -89.85422238"
1331 AUSTIN,35.17277782,-89.98598069,"35.17277782, -89.98598069"
0 LEYTON,35.23339746,-89.99270306,"35.23339746, -89.99270306"
0 FALLS RD,35.02005535,-90.06607624,"35.02005535, -90.06607624"
696 E GEORGIA AVE,35.12938644,-90.03843122,"35.12938644, -90.03843122"
3292 E SHELBY DR,35.02153151,-89.95380691,"35.02153151, -89.95380691"
842 RESTBROOK AVE,35.22480619,-90.03576063,"35.22480619, -90.03576063"
6233 MACON RD,35.16278194,-89.8554744,"35.16278194, -89.85547440"
2385 MALONE AVE,35.10218548,-89.98349138,"35.10218548, -89.98349138"
1804 WESTMORE CV,35.0969244,-90.0125952,"35.09692440, -90.01259520"
4429 INDIAN TRAIL DR,35.02769936,-89.85282509,"35.02769936, -89.85282509"
2304 ALAMEDA AVE,35.16418383,-89.98059964,"35.16418383, -89.98059964"
1306 E TRIGG AVE,35.11170768,-90.01874727,"35.11170768, -90.01874727"
5073 LEXIE DR,35.01001241,-90.01287116,"35.01001241, -90.01287116"
0 W KIRK AVE,35.09965593,-90.07082193,"35.09965593, -90.07082193"
1557 RAGAN ST,35.10365684,-90.01010796,"35.10365684, -90.01010796"
5816 GRASSY VALLEY DR,35.03274177,-89.86947242,"35.03274177, -89.86947242"
438 LILLIAN DR,35.03988977,-90.07889612,"35.03988977, -90.07889612"
2993 PHYLLIS LN,35.06714179,-89.9205256,"35.06714179, -89.92052560"
4343 SIDNEY RD,35.03005394,-90.03896969,"35.03005394, -90.03896969"
1648 OBERLE AVE,35.20170756,-90.00879078,"35.20170756, -90.00879078"
1892 COVENTRY DR,35.23847887,-90.00049535,"35.23847887, -90.00049535"
2627 SLEEPY BEND CV,35.19715027,-89.8216557,"35.19715027, -89.82165570"
270 W BURDOCK AVE,35.10628238,-90.07147872,"35.10628238, -90.07147872"
6826 STARKENBURG LN,35.04583402,-89.83556537,"35.04583402, -89.83556537"
2296 BOYLE AVE,35.09868601,-89.98657278,"35.09868601, -89.98657278"
3541 MADEWELL ST,35.22245025,-90.01795972,"35.22245025, -90.01795972"
208 COLONIAL RD,35.12531191,-89.90116612,"35.12531191, -89.90116612"
1445 BRITTON ST,35.17604501,-89.98805232,"35.17604501, -89.98805232"
1372 ASHVILLE DR,35.21956238,-90.01816021,"35.21956238, -90.01816021"
3059 ALTA RD,35.06520969,-90.07823446,"35.06520969, -90.07823446"
833 W EYERS RD,35.05112169,-90.09179831,"35.05112169, -90.09179831"
106 VAAL AVE,35.0984743,-90.0662382,"35.09847430, -90.06623820"
3360 CHRISTINE RD,35.04335057,-89.9515797,"35.04335057, -89.95157970"
333 GASTON AVE,35.11759843,-90.05104517,"35.11759843, -90.05104517"
1363 BREEDLOVE ST,35.17716785,-90.02161092,"35.17716785, -90.02161092"
BURLINGTON,35.09224109,-89.98591858,"35.09224109, -89.98591858"
740 CHESTNUT AVE,35.10251805,-90.03791656,"35.10251805, -90.03791656"
